market,funding_total_usd,status,country_code,funding_rounds,seed,venture,equity_crowdfunding,private_equity
Games,4000000,operating,USA,2,0,4000000,0,0
Software,7000000,,USA,1,0,7000000,0,0
Advertising,4912393,closed,ARG,1,0,0,0,0
Curated Web,2000000,operating,,1,0,2000000,0,0
Games,41250,operating,HKG,1,41250,0,0,0
E-Commerce,40000,operating,CHL,1,40000,0,0,0
Health and Wellness,1750000,operating,USA,1,0,0,0,0
Education,4400000,operating,GBR,2,400000,4000000,0,0
E-Commerce,2050000,operating,USA,4,0,0,0,0
Curated Web,2535000,acquired,USA,2,15000,2520000,0,0
Curated Web,4962651,operating,USA,6,0,3814772,0,0
Education,4500000,operating,CHN,2,0,4500000,0,0
Analytics,1250000,acquired,USA,2,750000,500000,0,0
Software,35000000,operating,USA,1,0,35000000,0,0
Curated Web,50000,closed,USA,1,50000,0,0,0
Biotechnology,3000000,operating,USA,1,0,0,0,0
Software,77500,operating,USA,1,0,0,0,0
Enterprise Software,1800000,operating,USA,1,0,1800000,0,0
Mobile,270000,operating,AUS,2,250000,0,0,0
Advertising,650267,operating,,2,500000,150267,0,0
Software,378812,operating,GBR,1,378812,0,0,0
Software,619494,operating,NLD,1,0,0,0,0
Manufacturing,66450000,operating,USA,8,0,63450000,0,0
Mobile,700000,operating,SWE,1,700000,0,0,0
Advertising,5500000,operating,USA,2,0,5500000,0,0
Software,6204822,operating,CHN,2,0,6204822,0,0
Software,3400000,operating,USA,3,2200000,0,0,0
Games,200000,operating,,1,200000,0,0,0
Software,199957,operating,USA,1,0,199957,0,0
Games,50000,operating,USA,1,0,0,0,0
Software,14000000,acquired,USA,1,0,14000000,0,0
Finance,9478511,operating,CHN,3,0,6230000,0,0
Software,200000000,,RUS,1,0,0,0,200000000
Education,40000,operating,DNK,1,0,0,0,0
Curated Web,43811,operating,,2,0,0,0,0
E-Commerce,50000,closed,USA,1,50000,0,0,0
Software,1450000,operating,USA,1,0,1450000,0,0
E-Commerce,4163132,operating,CHN,2,0,4163132,0,0
Health and Wellness,30000000,operating,USA,1,0,30000000,0,0
Social Media,500000,operating,USA,1,500000,0,0,0
Manufacturing,30000,operating,USA,1,0,30000,0,0
E-Commerce,117000000,operating,USA,4,0,57000000,0,0
E-Commerce,750000,operating,USA,1,0,0,0,0
Enterprise Software,1500000,operating,USA,2,0,1500000,0,0
Games,1660000,operating,FRA,1,0,1660000,0,0
Biotechnology,150000,operating,USA,1,0,150000,0,0
Mobile,29750000,operating,IRL,1,0,29750000,0,0
Curated Web,1236454,operating,ITA,3,1236454,0,0,0
Manufacturing,1464128,operating,CHN,1,0,0,0,0
E-Commerce,6369507,operating,IND,1,0,6369507,0,0
Software,2580000,operating,SWE,1,0,2580000,0,0
Health and Wellness,325000000,operating,USA,1,0,0,0,325000000
Software,100000000,operating,CHN,2,0,0,0,0
Biotechnology,15034750,operating,USA,6,0,12528500,0,0
Software,250000,operating,ISR,1,250000,0,0,0
Software,1610541,operating,CHN,2,0,0,0,0
Mobile,615000,operating,SGP,1,0,615000,0,0
Biotechnology,111949900,operating,USA,6,0,110549900,0,0
Finance,3452941,closed,USA,3,0,3452941,0,0
Hardware + Software,600000,operating,USA,1,600000,0,0,0
Clean Technology,16000000,operating,USA,1,0,16000000,0,0
Software,50000,closed,USA,1,50000,0,0,0
Education,4000000,operating,IND,1,0,4000000,0,0
Software,200000,operating,USA,1,200000,0,0,0
Software,25000,closed,,1,25000,0,0,0
Software,2000000,operating,CHN,1,0,2000000,0,0
E-Commerce,118000,closed,USA,1,118000,0,0,0
Software,250000,acquired,,2,0,0,0,0
Software,5844811,operating,USA,1,0,5844811,0,0
Software,3000000,operating,THA,3,0,3000000,0,0
